bairro_group,bairro,latitude,longitude,room_type,minimo_noites,numero_de_reviews,reviews_por_mes,calculado_host_listings_count,disponibilidade_365
1,9,40.72354,-73.98295,1,3,30,0.28,1,248
1,8,40.79295,-73.93997,2,2,34,0.32,1,10
2,33,40.71363,-73.96398,1,6,27,0.25,1,189
2,23,40.70207,-73.98571,2,3,14,0.13,1,189
1,29,40.76123,-73.9642,1,3,4,0.08,1,365
1,16,40.82704,-73.94907,1,3,2,0.04,1,0
2,2,40.70641,-73.91765,2,2,47,0.94,1,37
1,16,40.82374,-73.9373,1,2,18,1.79,1,0
2,33,40.71627,-73.9587,1,4,33,0.58,1,1
2,24,40.67994,-73.97863,1,5,52,0.5,1,18
2,25,40.67868,-73.97307,2,3,51,0.48,3,250
1,3,40.74031,-73.99999,1,3,3,0.03,1,0
1,17,40.76307,-73.99665,1,1,41,0.38,1,299
4,23,40.67252,-73.76597,2,2,52,0.49,2,365
1,17,40.76244,-73.99271,1,5,10,1.01,1,0
2,1,40.69546,-73.93503,2,2,11,0.48,1,0
1,17,40.76548,-73.98474,3,6,10,0.09,1,363
2,1,40.6829,-73.93549,2,2,23,0.22,1,91
2,12,40.68656,-73.97525,2,3,37,0.35,1,0
4,23,40.77185,-73.90502,1,2,17,0.16,1,292
1,9,40.73012,-73.99053,1,3,7,0.07,1,351
2,23,40.6585,-73.98397,2,2,21,0.26,1,272
1,23,40.76193,-73.9501,2,7,17,0.3,1,341
1,20,40.72052,-73.98589,1,3,41,0.39,1,244
1,4,40.71756,-73.99503,1,4,18,0.18,2,265
1,15,40.73194,-73.99474,1,5,10,0.1,1,91
1,16,40.81583,-73.94707,2,2,1,0.11,1,365
1,30,40.80021,-73.96071,1,4,4,0.04,1,0
1,23,40.71961,-73.9954,1,2,21,0.2,1,0
2,23,40.64106,-73.97426,2,1,45,0.46,2,365
1,23,40.86648,-73.9263,2,7,0,0.0,2,323
1,9,40.72807,-73.98594,1,3,0,0.0,1,0
2,33,40.71368,-73.9626,2,3,0,0.0,1,0
1,9,40.72956,-73.98158,1,7,5,0.15,1,231
2,33,40.71069,-73.95175,1,10,49,0.48,1,152
1,16,40.82888,-73.94307,2,3,20,0.26,1,364
2,24,40.67319,-73.97323,1,2,11,0.11,1,246
2,23,40.67846,-73.99443,1,3,51,0.57,1,288
2,33,40.71031,-73.9583,1,2,9,0.11,1,254
1,30,40.78971,-73.9729,1,11,30,0.32,1,249
2,14,40.73119,-73.95578,2,3,6,0.1,1,325
2,2,40.70514,-73.91922,2,5,47,0.49,1,203
1,9,40.73198,-73.98881,2,3,52,0.63,1,5
1,31,40.83494,-73.93869,1,3,32,0.43,2,276
2,14,40.72898,-73.95552,1,1,50,0.5,1,188
2,14,40.72646,-73.95341,2,3,29,0.36,1,15
2,33,40.71015,-73.96101,1,4,59,0.6,1,71
2,14,40.72488,-73.95018,2,2,1,0.01,1,0
1,17,40.76248,-73.9913,2,3,36,0.36,1,49
2,23,40.68674,-73.98876,1,4,6,0.1,1,0
2,1,40.6824,-73.94615,1,3,46,1.07,1,248
1,9,40.72451,-73.98094,1,2,33,0.33,1,0
2,6,40.67591,-73.94715,1,5,5,0.05,1,0
4,0,40.75961,-73.91117,2,1,42,1.21,2,365
2,33,40.71055,-73.95098,1,7,13,0.13,1,0
2,1,40.69465,-73.95458,1,5,4,0.07,1,9
2,5,40.68413,-73.96542,2,4,11,0.11,3,365
1,18,40.73877,-73.97707,1,4,1,0.01,3,181
2,33,40.71125,-73.95613,2,3,31,0.31,1,0
1,30,40.77944,-73.98567,1,5,49,0.56,1,201
2,6,40.67539,-73.96093,1,7,3,0.03,1,157
1,16,40.8054,-73.95189,2,1,1,0.02,1,0
1,29,40.78491,-73.9508,1,2,56,0.57,1,312
1,20,40.71895,-73.99434,1,1,52,0.6,3,361
1,21,40.75579,-73.96699,1,6,39,0.4,1,0
4,0,40.76434,-73.92132,1,4,30,0.32,1,363
1,3,40.74412,-74.00208,2,2,35,0.36,1,20
1,9,40.73067,-73.98702,2,2,0,0.0,1,0
2,33,40.70665,-73.94061,1,4,50,0.51,1,331
2,33,40.72063,-73.95952,1,2,29,0.31,1,36
2,24,40.67644,-73.98082,1,2,23,0.23,2,7
2,1,40.68569,-73.93038,2,2,38,0.54,2,307
1,30,40.79918,-73.96607,2,1,3,0.03,1,0
4,23,40.70925,-73.85262,1,3,28,1.21,3,209
1,32,40.73215,-74.00922,1,4,24,0.25,1,0
2,33,40.71109,-73.94332,1,2,15,0.15,1,0
2,33,40.71823,-73.95849,1,10,22,0.38,1,52
1,3,40.74488,-74.001,1,4,10,0.1,1,0
2,24,40.67632,-73.97616,1,7,18,0.21,1,18
2,14,40.72212,-73.94254,1,5,8,0.21,1,9
1,9,40.72485,-73.97813,1,4,22,0.23,1,0
1,16,40.80473,-73.9532,1,8,17,0.17,1,343
1,9,40.72217,-73.98419,2,1,34,0.58,1,0
2,33,40.71943,-73.9565,1,7,8,0.08,1,0
1,3,40.74249,-74.00329,1,4,0,0.0,1,0
1,30,40.79264,-73.97294,1,5,2,0.08,1,0
2,23,40.65749,-73.97675,1,4,52,0.72,1,188
1,15,40.72831,-74.00177,1,3,18,0.19,1,0
1,29,40.78508,-73.95332,1,4,0,0.0,1,0
1,20,40.72008,-73.98404,1,4,19,0.2,1,0
2,24,40.67359,-73.97904,1,2,0,0.0,1,8
1,9,40.72674,-73.9782,2,7,25,0.3,1,359
1,16,40.82426,-73.9463,2,3,38,0.42,3,365
2,5,40.68288,-73.96024,2,3,43,0.44,2,365
2,14,40.72489,-73.95494,1,5,4,0.05,1,0
2,1,40.6798,-73.93908,2,1,39,0.41,3,218
1,3,40.74346,-73.99882,2,2,37,1.79,1,0
1,30,40.77724,-73.98109,1,3,10,0.12,1,0
2,33,40.71309,-73.94128,2,6,3,0.03,1,0
2,6,40.67212,-73.9506,1,2,29,0.35,1,119
1,16,40.80523,-73.95139,1,5,42,0.44,2,234
1,23,40.72351,-73.99683,2,2,54,0.56,1,221
1,22,40.80525,-73.95916,2,5,57,0.59,2,201
1,31,40.84468,-73.94303,2,2,34,0.35,1,222
1,3,40.74342,-73.99483,1,9,3,0.04,2,76
2,24,40.67853,-73.98089,1,5,2,0.03,1,0
1,8,40.80113,-73.94503,1,2,11,0.12,2,68
1,16,40.82411,-73.94934,2,2,41,0.43,2,59
2,23,40.60452,-73.97103,1,7,0,0.0,2,0
1,8,40.7932,-73.94007,1,2,15,0.16,1,0
2,12,40.68768,-73.97611,2,2,35,0.55,2,161
1,16,40.80224,-73.94558,2,2,17,0.18,2,88
1,20,40.71473,-73.98842,2,3,3,0.04,2,337
1,16,40.80518,-73.95359,2,5,43,0.47,2,247
2,2,40.69055,-73.92357,1,2,11,0.46,1,0
2,6,40.67505,-73.95969,1,3,31,0.32,1,193
1,9,40.72974,-73.98201,2,4,49,0.51,2,43
2,33,40.70925,-73.95425,1,4,23,0.24,1,25
1,23,40.72133,-73.99666,1,1,6,0.06,3,115
1,3,40.73862,-73.99758,1,1,2,0.02,1,0
1,3,40.74695,-74.00454,2,4,1,0.02,1,365
1,29,40.76684,-73.95944,1,7,39,0.41,1,44
2,1,40.68967,-73.95445,1,3,42,0.44,1,355
2,25,40.67946,-73.96501,1,3,33,0.35,1,156
1,3,40.74033,-74.00024,1,6,23,0.27,2,0
1,30,40.7969,-73.96128,2,6,35,0.37,1,180
2,33,40.70275,-73.94501,2,1,46,0.97,1,59
2,24,40.67595,-73.98053,1,5,15,0.16,1,0
1,16,40.82922,-73.94174,2,3,50,0.65,2,38
1,29,40.76739,-73.9557,3,1,0,0.0,1,0
1,29,40.7694,-73.9572,1,1,8,0.08,1,0
2,33,40.7093,-73.9497,2,6,8,0.09,1,249
2,2,40.68364,-73.91076,2,2,55,0.59,1,286
2,12,40.68765,-73.97073,1,2,4,0.18,1,0
2,33,40.71973,-73.95582,1,3,14,0.15,1,0
2,1,40.69025,-73.93323,1,3,30,0.32,3,11
1,9,40.72956,-73.97903,1,1,60,0.65,1,0
2,23,40.67688,-73.9859,1,7,9,0.1,1,0
2,2,40.70051,-73.92204,2,1,1,0.37,1,5
3,23,40.60742,-74.14388,2,2,2,0.05,1,158
1,30,40.79816,-73.9619,1,2,45,0.47,3,31
1,16,40.8078,-73.95208,2,7,19,0.35,1,285
2,23,40.61922,-73.99399,1,1,24,0.26,1,183
2,5,40.68275,-73.96148,1,4,8,0.09,2,189
1,20,40.71813,-73.98416,1,1,29,0.31,2,162
1,20,40.71892,-73.98401,1,1,14,0.15,2,158
1,16,40.816,-73.95545,2,1,33,0.38,1,84
2,1,40.68634,-73.95088,2,3,59,0.62,3,0
1,23,40.72956,-73.99287,2,2,0,0.0,1,0
1,3,40.74233,-73.99865,1,4,32,0.34,1,28
2,25,40.67424,-73.96665,1,5,24,0.25,1,363
1,16,40.80486,-73.95298,2,1,59,0.63,2,86
2,23,40.68653,-73.98562,1,4,18,0.21,1,0
1,21,40.74267,-73.98569,1,4,3,0.03,1,0
1,32,40.73507,-74.00048,1,3,13,0.15,1,83
1,17,40.76189,-73.99,2,2,52,0.55,1,303
2,28,40.66293,-73.99833,1,5,1,0.01,1,0
2,1,40.69046,-73.95167,1,2,35,0.4,1,36
1,23,40.72599,-74.00168,2,5,1,0.01,1,210
4,27,40.70163,-73.90867,2,1,19,0.25,1,311
1,21,40.75575,-73.96842,2,2,61,0.65,1,264
2,23,40.66414,-73.98574,1,1,40,0.44,1,0
1,9,40.72264,-73.9837,1,4,0,0.0,1,0
1,4,40.71892,-73.99628,1,7,2,0.03,1,0
1,20,40.71693,-73.98948,1,5,8,0.11,1,0
2,1,40.69221,-73.95866,1,6,8,0.33,1,4
1,32,40.72969,-74.00635,1,2,37,0.39,1,257
2,33,40.70832,-73.94157,1,1,24,0.29,1,0
2,1,40.68016,-73.94878,1,3,5,0.05,1,365
1,3,40.75127,-73.99637,1,5,34,0.39,1,302
2,6,40.67607,-73.94421,2,3,5,0.05,1,281
1,13,40.73834,-73.9823,1,1,5,0.06,1,0
4,23,40.7347,-73.88066,1,4,60,0.64,2,297
1,32,40.73291,-74.00059,1,4,6,0.16,1,0
2,6,40.67495,-73.95563,2,3,0,0.0,1,0
1,4,40.71582,-73.99902,1,1,49,0.58,1,0
1,16,40.81068,-73.94288,2,1,11,0.12,2,365
1,8,40.79493,-73.94462,1,3,49,0.53,2,0
2,23,40.58147,-73.96726,2,1,2,0.04,1,303
1,30,40.79771,-73.96323,1,2,16,0.23,1,261
4,23,40.74965,-73.89344,2,5,56,0.66,3,365
2,5,40.68197,-73.96549,1,1,2,0.03,1,0
4,23,40.70554,-73.76637,2,4,20,0.23,1,0
1,32,40.74031,-74.00532,1,4,46,0.5,1,20
2,12,40.69142,-73.97203,1,7,4,0.05,2,0
2,1,40.68338,-73.95289,1,3,18,0.25,1,1
1,32,40.72953,-74.00462,1,7,11,0.12,1,0
1,10,40.70523,-74.01345,2,7,51,0.55,1,307
1,3,40.74025,-74.00161,2,5,20,0.33,1,0
2,7,40.64468,-73.94219,1,4,54,0.62,1,27
1,20,40.7193,-73.98966,2,5,10,0.46,1,348
1,16,40.82151,-73.94516,1,1,1,0.18,1,5
2,6,40.6711,-73.95231,2,2,20,0.59,1,98
1,23,40.76217,-73.98411,1,5,8,0.09,1,0
1,23,40.72313,-73.99438,1,5,5,0.09,1,89
2,33,40.7177,-73.95576,1,4,0,0.0,1,354
1,3,40.74139,-74.0005,1,4,0,0.0,1,0
4,23,40.73349,-73.86009,2,1,38,0.85,1,0
5,23,40.89557,-73.8447,2,2,15,0.17,1,337
2,23,40.64277,-73.97296,2,2,20,0.42,1,347
1,8,40.79111,-73.94466,2,3,25,0.96,2,127
1,16,40.79951,-73.95257,1,2,35,0.42,1,41
2,6,40.66431,-73.93216,2,3,26,0.33,1,158
2,1,40.68812,-73.93254,2,10,16,0.19,3,216
1,9,40.72454,-73.99151,1,3,24,0.26,1,16
2,33,40.71073,-73.96207,2,1,30,0.33,2,365
2,33,40.71028,-73.96128,2,2,5,0.06,2,365
2,1,40.68884,-73.95059,2,5,9,0.19,2,33
2,1,40.6865,-73.95372,2,5,45,0.52,2,0
1,29,40.76373,-73.96897,1,3,5,0.08,1,27
1,9,40.72257,-73.98465,1,3,49,0.53,1,365
2,14,40.72723,-73.95728,2,4,6,0.07,1,303
2,12,40.69135,-73.97321,1,5,7,0.08,1,0
2,33,40.70513,-73.95505,2,2,35,0.38,2,161
1,8,40.79793,-73.93612,2,6,0,0.0,1,0
1,16,40.80285,-73.95166,2,2,54,0.88,1,50
2,5,40.68156,-73.96537,1,5,6,0.13,1,317
2,14,40.72868,-73.95835,2,7,15,0.25,3,365
2,26,40.65689,-73.9533,1,6,58,0.63,1,0
4,0,40.77117,-73.91905,2,5,3,0.03,1,0
2,6,40.66984,-73.95141,2,1,1,0.04,1,0
1,16,40.82977,-73.94071,1,3,2,0.06,1,365
2,6,40.67392,-73.94662,1,5,26,0.28,1,0
2,14,40.73321,-73.95587,1,5,14,0.16,1,0
2,1,40.68106,-73.9292,2,3,29,1.57,1,118
2,23,40.67889,-73.86404,2,7,0,0.0,1,0
1,9,40.7241,-73.97899,1,7,24,0.26,2,125
2,33,40.70766,-73.95191,1,7,0,0.0,2,354
1,17,40.76001,-73.99133,1,3,10,0.23,1,0
2,23,40.66441,-73.97974,2,4,36,0.47,2,80
1,9,40.73119,-73.98819,2,6,1,0.01,1,0
2,1,40.68991,-73.93179,1,3,21,0.23,3,43
2,1,40.68174,-73.91921,1,2,40,0.68,1,0
2,12,40.69018,-73.98107,1,3,35,0.4,1,289
1,9,40.72948,-73.98694,1,8,15,0.19,1,0
2,23,40.68353,-73.9914,1,2,13,0.18,1,0
1,23,40.7253,-73.99916,1,5,8,0.11,1,0
4,19,40.75295,-73.93228,2,2,5,0.06,1,362
2,14,40.71947,-73.95252,1,4,46,0.52,1,121
1,30,40.77338,-73.98887,1,7,14,0.16,1,205
2,6,40.67385,-73.94405,1,5,37,0.45,1,310
4,0,40.76856,-73.91828,1,5,1,0.03,1,0
1,17,40.7625,-73.9869,1,3,4,0.07,1,200
2,6,40.67335,-73.96,1,5,0,0.0,1,0
1,16,40.80497,-73.95146,1,1,0,0.0,1,0
2,33,40.70736,-73.94331,1,4,54,0.66,2,12
4,0,40.76444,-73.92607,1,3,7,0.08,1,0
2,33,40.711,-73.96225,1,3,11,0.16,1,0
2,33,40.71095,-73.95239,2,3,17,0.19,1,0
2,33,40.70918,-73.94881,2,7,1,0.02,2,0
1,30,40.7909,-73.96762,1,3,36,0.47,1,29
2,6,40.66469,-73.96091,2,5,2,0.09,1,0
2,1,40.68855,-73.95405,2,5,18,0.2,3,0
2,33,40.71653,-73.95554,2,3,24,0.28,3,0
2,12,40.69309,-73.97074,2,3,1,0.07,1,0
2,33,40.70638,-73.96627,2,1,2,0.05,1,363
2,33,40.71635,-73.94609,2,3,0,0.0,1,358
1,29,40.77272,-73.95307,2,3,0,0.0,2,0
2,14,40.72582,-73.95843,1,4,9,0.1,1,188
1,16,40.80637,-73.95433,2,2,44,0.49,1,260
1,8,40.7968,-73.93611,1,7,12,0.14,1,0
1,8,40.79596,-73.94463,1,3,51,0.57,1,311
1,30,40.78012,-73.98439,1,1,0,0.0,1,146
1,30,40.77508,-73.9799,1,2,11,0.13,1,2
2,12,40.68786,-73.97421,2,3,16,0.18,1,0
1,30,40.79044,-73.97513,2,3,14,0.22,1,365
3,23,40.62318,-74.07848,2,1,50,0.56,1,352
1,16,40.82286,-73.94596,2,3,33,0.39,3,301
1,16,40.82451,-73.94457,2,3,30,0.35,3,322
2,1,40.69348,-73.95927,2,3,13,0.15,1,298
2,6,40.67679,-73.95639,1,4,1,0.01,1,342
2,25,40.67339,-73.96519,2,2,61,0.86,1,90
2,1,40.69213,-73.951,1,2,39,0.47,2,293
1,16,40.80343,-73.9531,2,3,47,0.57,1,248
2,2,40.70462,-73.9228,1,2,42,0.48,1,238
2,33,40.71279,-73.95852,1,4,26,0.73,1,0
1,13,40.73294,-73.98282,1,5,18,0.21,1,0
1,31,40.83456,-73.9457,1,3,18,0.21,1,31
2,33,40.71368,-73.94478,1,3,25,0.29,1,0
1,29,40.77471,-73.95574,1,2,32,0.47,1,7
1,9,40.725,-73.98851,1,5,1,0.02,1,0
1,18,40.74016,-73.97665,1,3,12,0.14,1,271
1,21,40.75023,-73.98293,1,10,19,0.27,1,101
2,6,40.66604,-73.95914,1,3,12,0.13,1,343
1,23,40.86658,-73.92558,2,7,46,0.62,2,310
2,33,40.71179,-73.96449,2,4,42,0.47,2,52
1,16,40.82772,-73.93877,2,1,15,0.21,1,329
1,30,40.77577,-73.98258,1,2,36,0.45,1,0
1,29,40.77631,-73.95289,1,1,16,0.19,2,351
1,16,40.83177,-73.95,2,1,56,0.64,1,365
1,32,40.73104,-74.00879,2,1,7,0.08,1,129
1,15,40.72886,-74.00013,2,3,7,0.09,1,0
1,20,40.71868,-73.99017,1,1,53,0.6,1,0
2,33,40.71682,-73.96369,2,5,0,0.0,1,0
2,24,40.67188,-73.97533,1,5,6,0.08,1,31
2,26,40.65846,-73.95057,2,5,11,0.13,3,365
1,9,40.72986,-73.97913,1,6,41,0.47,1,36
2,26,40.66039,-73.95937,2,7,34,0.39,1,332
2,6,40.66898,-73.9571,1,3,34,0.39,1,0
1,21,40.75407,-73.96713,1,7,27,0.31,1,192
2,33,40.70712,-73.94013,2,4,30,0.34,1,139
2,24,40.67962,-73.97655,2,2,30,0.74,1,0
2,6,40.66847,-73.94875,1,5,1,0.02,1,0
2,14,40.7376,-73.95678,2,5,3,0.09,1,242
2,14,40.72488,-73.94013,1,2,5,0.1,1,0
1,30,40.78161,-73.97898,1,3,22,0.25,1,0
1,17,40.75643,-73.99046,1,7,13,0.15,1,327
2,24,40.67407,-73.98111,1,4,23,0.67,2,262
1,16,40.80491,-73.94866,2,3,10,0.12,3,359
1,16,40.80334,-73.94805,2,3,14,0.16,3,348
1,23,40.87039,-73.91611,2,1,20,0.28,1,0
2,33,40.704,-73.93285,2,5,2,0.02,1,0
5,23,40.87991,-73.91673,1,2,47,1.22,1,318
3,23,40.62766,-74.07988,2,2,6,0.19,1,363
1,31,40.83434,-73.94027,2,3,4,0.41,1,335
4,23,40.71151,-73.81561,2,1,59,0.69,2,0
4,23,40.68581,-73.84642,3,1,8,0.11,2,364
1,10,40.70621,-74.01525,1,4,27,0.31,1,169
1,23,40.72172,-73.99689,2,5,61,0.7,1,188
2,14,40.72049,-73.95221,2,2,2,0.02,2,89
4,23,40.71068,-73.81577,2,1,16,0.18,2,189
1,16,40.83091,-73.94223,1,5,38,0.44,1,253
1,30,40.7824,-73.98294,2,1,25,0.28,1,311
1,16,40.82703,-73.94311,2,3,6,0.07,1,363
1,29,40.78521,-73.95489,1,7,30,0.34,1,224
2,23,40.66106,-73.98316,1,3,17,0.46,1,5
1,29,40.76494,-73.95804,1,4,19,0.22,1,84
1,16,40.80192,-73.95827,2,1,0,0.0,1,365
1,9,40.72812,-73.97966,1,2,16,0.18,1,0
4,19,40.75453,-73.93377,1,2,59,0.94,1,335
2,33,40.71121,-73.94669,1,3,7,0.08,1,270
1,15,40.73448,-73.99797,1,5,0,0.0,1,0
2,23,40.5781,-73.95455,1,2,8,0.1,1,2
2,1,40.69321,-73.9442,1,5,9,0.1,1,0
1,21,40.75816,-73.96457,1,2,16,0.24,1,167
1,10,40.70537,-74.00992,1,1,36,0.57,1,365
2,14,40.72212,-73.94389,1,6,39,0.47,2,258
1,9,40.72978,-73.9793,2,3,28,0.33,1,364
1,20,40.71804,-73.98565,1,7,4,0.22,1,0
1,32,40.73041,-74.00498,1,7,5,0.09,1,0
2,23,40.70279,-73.98284,1,4,8,0.09,1,0
1,31,40.83559,-73.94095,2,2,13,0.15,1,0
1,30,40.79234,-73.96482,1,1,8,0.09,1,0
1,31,40.83451,-73.93885,1,3,50,0.87,2,277
2,25,40.67763,-73.97185,1,4,41,0.47,1,10
2,23,40.65408,-73.87883,1,4,40,0.46,1,273
1,10,40.70633,-74.00974,1,4,33,0.39,1,0
1,29,40.77548,-73.95183,2,5,2,0.09,1,365
2,33,40.7108,-73.96226,1,3,16,0.19,1,291
1,16,40.82726,-73.9444,2,1,17,0.31,2,289
1,16,40.82669,-73.94281,2,2,7,0.08,1,0
1,3,40.74572,-73.99965,1,9,10,0.11,1,0
2,1,40.68813,-73.92817,1,7,7,0.1,2,303
5,23,40.81128,-73.92399,2,1,23,0.27,1,333
1,30,40.77593,-73.97699,1,4,22,0.27,1,239
1,18,40.73903,-73.97975,2,1,1,0.02,1,6
2,33,40.71164,-73.965,1,2,5,0.06,3,0
4,23,40.75193,-73.87873,2,5,30,0.37,3,180
4,23,40.74906,-73.89377,2,7,55,0.64,3,318
2,28,40.6397,-74.0162,2,7,28,0.32,2,333
2,24,40.67267,-73.98348,2,2,0,0.0,1,0
2,23,40.64205,-73.97173,1,1,3,0.06,1,0
2,14,40.72183,-73.94908,1,2,7,0.09,1,0
1,20,40.71986,-73.9869,1,4,13,0.15,1,195
1,16,40.81669,-73.94267,2,1,3,0.03,1,0
1,3,40.7476,-73.99698,1,4,23,0.27,1,0
1,32,40.73204,-74.00189,1,3,7,0.08,1,0
1,16,40.81713,-73.94217,2,3,36,1.76,1,47
2,33,40.70147,-73.94378,1,3,12,0.15,1,319
1,29,40.76719,-73.95303,1,2,23,0.27,1,0
1,18,40.74134,-73.98113,1,2,47,0.55,1,177
1,16,40.8162,-73.94747,1,8,8,0.11,1,0
2,33,40.71613,-73.95837,1,3,17,0.2,1,67
1,20,40.71746,-73.98782,2,5,4,0.06,1,0
2,1,40.68905,-73.9541,2,7,2,0.02,3,0
2,6,40.67615,-73.95441,1,2,35,0.54,3,0
1,20,40.72106,-73.98384,1,3,31,0.41,1,28
1,23,40.71012,-74.01504,2,2,8,0.13,1,0
2,26,40.65955,-73.96066,2,4,12,0.16,1,330
1,30,40.77137,-73.98943,1,5,13,0.15,1,0
2,25,40.67796,-73.96458,1,2,10,0.17,1,0
2,33,40.71285,-73.94383,1,5,10,0.12,1,0
1,17,40.76487,-73.98471,1,7,0,0.0,1,0
2,28,40.66387,-73.99077,1,2,17,0.2,1,0
1,9,40.72693,-73.98521,1,6,17,0.2,1,0
1,23,40.71137,-73.99403,2,4,48,0.56,1,96
2,23,40.67579,-73.99968,1,6,2,0.03,1,0
4,23,40.74679,-73.91853,2,3,1,0.01,1,330
2,23,40.65854,-73.98384,1,2,24,0.39,1,23
2,33,40.70821,-73.95352,1,7,13,0.15,2,0
2,28,40.66158,-73.98954,1,2,58,0.67,1,0
2,28,40.66221,-73.99743,2,2,33,0.39,1,20
1,8,40.79313,-73.93493,2,3,47,0.66,2,0
2,23,40.68444,-73.99904,2,5,0,0.0,1,342
2,24,40.67996,-73.98027,1,3,2,0.05,1,0
2,24,40.67211,-73.976,1,3,27,0.45,1,68
1,30,40.79183,-73.97172,1,3,24,0.3,1,0
1,4,40.71456,-73.99978,1,5,22,0.26,1,316
2,23,40.68721,-74.00147,2,7,0,0.0,1,0
2,12,40.69011,-73.97691,1,4,2,0.03,2,34
2,23,40.66641,-73.98283,1,3,12,0.27,1,26
2,23,40.67828,-73.99136,2,2,35,0.41,1,189
5,23,40.8687,-73.8524,2,7,2,0.17,1,90
1,30,40.78451,-73.97882,1,7,0,0.0,1,0
1,3,40.73942,-74.00009,3,1,61,0.71,2,0
3,23,40.59274,-74.16178,2,2,11,0.24,1,88
1,23,40.72701,-74.0011,1,3,9,0.1,1,0
2,1,40.68607,-73.95839,1,5,4,0.05,1,0
2,33,40.71345,-73.95689,1,2,15,0.29,1,64
1,32,40.73214,-74.00188,1,4,22,0.28,1,77
1,15,40.72903,-74.00028,1,3,18,0.21,1,0
2,25,40.67823,-73.97007,1,3,56,0.65,1,160
1,30,40.79842,-73.96903,1,4,2,0.03,1,141
1,20,40.72232,-73.98686,1,3,57,0.7,1,6
1,9,40.72454,-73.97944,1,4,13,0.17,1,0
1,29,40.77799,-73.95223,2,1,1,0.01,1,0
2,2,40.69227,-73.90852,2,2,37,0.49,1,23
1,9,40.72756,-73.97939,1,7,19,0.32,1,24
1,18,40.73951,-73.98146,1,3,2,0.02,1,0
2,33,40.7139,-73.96553,1,3,1,0.07,1,0
2,2,40.70753,-73.92048,1,5,3,0.04,1,0
1,9,40.73044,-73.98683,1,1,15,0.18,1,0
2,1,40.68543,-73.93838,1,10,10,0.17,2,185
1,3,40.74348,-73.9998,1,1,60,0.78,1,260
1,3,40.75086,-73.99776,1,5,9,0.1,1,0
2,33,40.71915,-73.95581,1,3,1,0.01,1,0
2,23,40.64625,-73.97932,1,10,33,0.39,1,269
2,33,40.71577,-73.94084,2,1,10,0.14,1,0
1,29,40.77108,-73.95967,2,3,10,0.13,2,251
1,16,40.82749,-73.9382,2,7,8,0.09,1,178
2,23,40.66777,-73.98367,2,4,5,0.06,1,0
4,23,40.72719,-73.86166,1,5,5,0.1,1,4
1,3,40.74767,-74.01061,1,6,42,0.49,1,170
