id,bairro_group,bairro,latitude,longitude,room_type,minimo_noites,numero_de_reviews,reviews_por_mes,calculado_host_listings_count,disponibilidade_365
26522949,2,23,40.69174,-73.99283,1,2,4,0.36,2,11
26523155,1,23,40.764,-73.94741,2,3,2,0.17,1,0
26526269,1,23,40.76506,-73.94662,2,1,2,0.16,1,0
26527613,2,33,40.70277,-73.93568,1,1,1,0.08,1,76
26528837,4,23,40.72608,-73.86233,2,2,28,2.36,3,38
26529593,4,23,40.72738,-73.86273,2,2,21,1.76,3,0
26530921,1,17,40.76213,-73.99938,1,5,1,0.1,1,11
26532770,1,17,40.75945,-73.99344,2,4,0,0.0,1,0
26534723,1,31,40.8436,-73.9412,1,11,1,0.09,1,342
26534838,1,32,40.73429,-74.00487,1,3,6,0.52,1,0
26538746,1,29,40.77537,-73.95556,1,5,1,0.08,1,0
26538883,1,20,40.72235,-73.98766,1,3,1,0.09,1,0
26550322,1,31,40.85515,-73.93297,1,4,20,1.94,1,228
26553542,2,1,40.67854,-73.94883,3,1,2,0.17,1,342
26555450,2,23,40.61716,-73.96271,1,5,24,2.02,1,0
26555992,2,2,40.69949,-73.92383,1,2,6,0.54,1,0
26557068,1,21,40.7521,-73.97334,2,2,2,0.25,1,0
26557266,2,33,40.71415,-73.96225,2,1,0,0.0,1,0
26557748,2,14,40.72446,-73.9516,1,3,13,1.13,1,0
26557901,2,23,40.66625,-73.9826,2,2,15,2.33,1,57
26559223,2,33,40.71106,-73.95945,2,4,1,0.09,1,220
26559313,4,19,40.75311,-73.93628,1,2,30,2.54,1,172
26560159,2,26,40.66352,-73.94157,1,5,8,0.69,1,57
26560973,2,33,40.70807,-73.95565,1,3,6,0.54,1,0
26563874,4,23,40.75046,-73.85443,2,2,19,1.6,1,24
26564665,1,16,40.80455,-73.95429,1,2,16,1.32,1,0
26565864,1,9,40.72436,-73.98235,1,2,9,0.8,1,0
26566099,2,1,40.68125,-73.92326,2,1,7,0.59,1,129
26569512,2,1,40.67963,-73.90816,2,1,16,2.34,3,0
26569565,2,2,40.69257,-73.92332,1,1,7,0.62,1,88
26569882,2,33,40.71787,-73.94171,2,2,4,1.5,2,66
26570172,1,23,40.86735,-73.91762,2,3,3,0.26,1,0
26570316,2,6,40.67512,-73.94703,1,5,28,2.54,2,62
26571135,1,23,40.86411,-73.92241,2,3,1,0.09,1,0
26571486,5,23,40.84835,-73.9141,1,1,1,0.09,1,0
26571706,1,17,40.76138,-73.99945,1,2,3,0.25,1,0
26572767,1,29,40.77673,-73.95525,2,2,4,0.34,2,0
26574775,1,9,40.72366,-73.9903,1,2,11,0.99,1,0
26576819,4,23,40.74942,-73.88248,2,2,6,0.5,2,89
26584254,4,23,40.77031,-73.90793,2,2,10,0.89,2,53
26584630,2,24,40.66986,-73.98668,1,2,23,1.86,1,4
26587430,2,23,40.68988,-73.99907,1,4,1,0.45,1,13
26589357,1,9,40.72639,-73.97848,2,8,2,0.19,1,0
26592537,2,14,40.72694,-73.94868,2,3,5,0.41,1,55
26593665,2,23,40.65163,-73.97911,1,5,0,0.0,2,0
26593733,1,21,40.74573,-73.98323,2,3,6,0.55,1,70
26594390,4,19,40.75087,-73.94202,1,2,24,2.11,1,232
26594677,1,21,40.75357,-73.97313,2,3,1,0.12,1,0
26594746,2,33,40.71414,-73.96334,1,2,3,0.25,1,0
26595705,4,19,40.74748,-73.93985,2,1,0,0.0,1,0
26597239,4,0,40.75709,-73.9145,2,2,21,1.86,3,151
26598239,2,5,40.69322,-73.96655,2,3,2,0.16,1,0
26598477,1,16,40.81657,-73.93849,1,1,19,1.62,3,0
26599049,2,33,40.71018,-73.94057,2,3,2,0.17,1,36
26599360,2,24,40.67193,-73.98152,2,2,24,2.09,1,294
26602263,1,16,40.79976,-73.95119,2,3,28,2.36,1,4
26602421,1,3,40.75274,-73.99647,1,3,4,0.33,1,0
26602878,1,16,40.81694,-73.93909,2,2,3,0.26,3,364
26602955,1,16,40.81678,-73.94246,2,1,7,0.62,2,180
26603881,1,16,40.80269,-73.94687,1,2,0,0.0,3,353
26604019,2,23,40.61615,-73.95997,1,1,1,0.08,1,0
26604446,5,23,40.84171,-73.91159,2,1,0,0.0,1,363
26607493,1,4,40.71443,-73.99348,2,7,1,0.09,1,0
26607877,1,16,40.80367,-73.94803,2,3,6,0.6,3,353
26608031,1,31,40.83958,-73.94596,1,3,4,0.33,1,0
26608589,1,21,40.75157,-73.97134,2,3,0,0.0,1,5
26609429,1,30,40.79577,-73.97403,2,6,6,0.49,1,0
26619987,4,23,40.74295,-73.87812,2,2,0,0.0,1,358
26622664,2,11,40.6533,-73.95534,1,2,1,0.08,1,0
26627587,4,23,40.69666,-73.83415,1,3,15,1.33,1,0
26627762,1,31,40.85466,-73.92771,2,2,1,0.09,1,0
26630310,2,1,40.69185,-73.95896,2,10,0,0.0,1,17
26632496,2,23,40.69032,-73.9871,2,2,26,2.39,1,0
26632917,2,7,40.64629,-73.932,1,3,18,1.53,1,48
26633920,2,14,40.72878,-73.95823,1,3,0,0.0,1,0
26635476,1,23,40.86159,-73.92616,1,4,3,0.26,1,0
26635867,2,26,40.66113,-73.96277,1,2,11,0.94,1,0
26639925,5,23,40.83791,-73.85845,2,1,14,1.24,2,311
26640189,2,1,40.69418,-73.96069,2,1,3,0.36,3,0
26640231,5,23,40.81639,-73.81954,2,1,13,1.09,1,35
26641303,1,20,40.71769,-73.99148,1,1,3,0.26,1,0
26642831,1,30,40.79083,-73.97531,1,3,3,0.42,1,330
26643374,2,33,40.71364,-73.95126,1,5,0,0.0,1,103
26645876,4,23,40.75607,-73.82212,2,1,3,0.28,2,0
26660828,1,16,40.81265,-73.95261,1,2,3,0.31,2,0
26662052,2,2,40.69227,-73.92521,2,5,3,0.25,1,4
26662711,1,17,40.7686,-73.98951,1,4,7,0.59,1,0
26663094,2,2,40.69417,-73.92589,2,5,6,0.51,2,0
26664837,1,31,40.85116,-73.93457,1,3,7,0.64,1,6
26665850,4,23,40.69066,-73.78759,2,5,8,0.68,1,314
26666333,2,33,40.71674,-73.95825,2,3,2,0.19,1,0
26668703,2,23,40.67966,-74.00641,2,7,1,0.1,1,45
26669041,2,23,40.6757,-73.87657,3,2,26,2.25,1,50
26669199,1,9,40.72307,-73.98437,2,1,12,1.07,1,160
26670812,4,23,40.75432,-73.82273,2,1,1,0.09,2,0
26679556,1,22,40.80494,-73.96426,1,2,2,0.18,1,0
26682918,4,23,40.74122,-73.92223,2,1,11,0.93,1,346
26683178,2,23,40.68563,-73.98796,1,4,2,0.19,1,0
26685276,4,27,40.69212,-73.90188,1,7,0,0.0,1,10
26688805,2,1,40.68208,-73.92116,2,2,4,0.35,1,0
26689265,2,2,40.70204,-73.91684,1,2,10,0.97,1,15
26689797,1,8,40.8018,-73.9413,1,2,25,2.06,1,6
26690488,4,27,40.70527,-73.90083,2,2,22,1.92,1,16
26691677,2,14,40.72414,-73.93967,2,1,4,0.34,1,0
26691866,2,25,40.67367,-73.96507,1,3,13,1.09,1,9
26696254,2,1,40.68291,-73.91975,1,2,8,0.68,1,84
26703677,4,23,40.56605,-73.86994,2,1,4,0.35,2,160
26708055,1,30,40.79782,-73.97179,1,2,1,0.16,1,3
26709233,4,23,40.74579,-73.88904,1,3,16,1.42,1,40
26710580,1,17,40.76484,-73.98969,1,4,0,0.0,1,0
26713367,1,9,40.72382,-73.97683,2,2,7,0.79,1,89
26715682,2,23,40.59166,-73.96672,1,2,26,2.22,1,323
26716338,1,31,40.83298,-73.93938,2,7,2,0.18,1,0
26717112,2,25,40.68219,-73.97259,1,3,6,0.52,1,0
26717498,2,23,40.66873,-73.99263,1,9,0,0.0,1,0
26717562,1,3,40.7433,-74.00119,1,5,0,0.0,1,46
